央视,#genre#
山东教育卫视,https://live.tv.darwinchow.com/channel/shandongjiaoyuweishi?livekey=01WPMMybQnBwvNwvaclJPIM4QAWe5C8zSPy9p&userkey=40e524cc7e3d2c4b
卡酷少儿,https://live.tv.darwinchow.com/channel/kakushaoer?livekey=01WPMMybQnBwvNwvaclJPIM4QAWe5C8zSPy9p&userkey=40e524cc7e3d2c4b
金鹰卡通,https://live.tv.darwinchow.com/channel/jinyingkatong?livekey=01WPMMybQnBwvNwvaclJPIM4QAWe5C8zSPy9p&userkey=40e524cc7e3d2c4b
哈哈炫动,https://live.tv.darwinchow.com/channel/hahaxuandong?livekey=01WPMMybQnBwvNwvaclJPIM4QAWe5C8zSPy9p&userkey=40e524cc7e3d2c4b
嘉佳卡通,https://live.tv.darwinchow.com/channel/jiajiakatong?livekey=01WPMMybQnBwvNwvaclJPIM4QAWe5C8zSPy9p&userkey=40e524cc7e3d2c4b
优漫卡通,https://live.tv.darwinchow.com/channel/youmankatong?livekey=01WPMMybQnBwvNwvaclJPIM4QAWe5C8zSPy9p&userkey=40e524cc7e3d2c4b

4K,#genre#
CCTV-16奥林匹克4K,https://live.tv.darwinchow.com/channel/cctv164k?livekey=01WPMMybQnBwvNwvaclJPIM4QAWe5C8zSPy9p&userkey=40e524cc7e3d2c4b
CCTV-4K超高清,https://live.tv.darwinchow.com/channel/cctv4k?livekey=01WPMMybQnBwvNwvaclJPIM4QAWe5C8zSPy9p&userkey=40e524cc7e3d2c4b
北京卫视4K,https://live.tv.darwinchow.com/channel/beijingweishi4k?livekey=01WPMMybQnBwvNwvaclJPIM4QAWe5C8zSPy9p&userkey=40e524cc7e3d2c4b
东方卫视4K,https://live.tv.darwinchow.com/channel/dongfangweishi4k?livekey=01WPMMybQnBwvNwvaclJPIM4QAWe5C8zSPy9p&userkey=40e524cc7e3d2c4b
