

中天,#genre#
CCTV8.,http://8.07456.me:24901/tsfile/live/1040_1.m3u8
CCTV17.,http://8.07456.me:24901/tsfile/live/1046_1.m3u8
CCTV1,http://zjwc2021.f3322.net:8090/hls/113/index.m3u8
CCTV2,http://zjwc2021.f3322.net:8090/hls/114/index.m3u8
CCTV3,http://zjwc2021.f3322.net:8090/hls/115/index.m3u8
CCTV5,http://zjwc2021.f3322.net:8090/hls/58/index.m3u8
CCTV5+,http://zjwc2021.f3322.net:8090/hls/10/index.m3u8
CCTV7,http://zjwc2021.f3322.net:8090/hls/119/index.m3u8
CCTV8,http://zjwc2021.f3322.net:8090/hls/120/index.m3u8
CCTV12,http://zjwc2021.f3322.net:8090/hls/124/index.m3u8

CCTV1,http://222.214.208.34:59901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://222.214.208.34:59901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://222.214.208.34:59901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://222.214.208.34:59901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://222.214.208.34:59901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://222.214.208.34:59901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://222.214.208.34:59901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://222.214.208.34:59901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://222.214.208.34:59901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://222.214.208.34:59901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://222.214.208.34:59901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://222.214.208.34:59901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://222.214.208.34:59901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV1,http://39.152.103.17:8089/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&down=1
CCTV2,http://39.152.103.17:8089/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&down=1
CCTV3,http://39.152.103.17:8089/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&down=1
CCTV4,http://39.152.103.17:8089/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&down=1
CCTV5,http://39.152.103.17:8089/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&down=1
CCTV6,http://39.152.103.17:8089/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&down=1
CCTV7,http://39.152.103.17:8089/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&down=1
CCTV8,http://39.152.103.17:8089/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&down=1
CCTV9,http://39.152.103.17:8089/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&down=1
CCTV10,http://39.152.103.17:8089/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&down=1
CCTV11,http://39.152.103.17:8089/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&down=1
CCTV12,http://39.152.103.17:8089/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&down=1
CCTV13,http://39.152.103.17:8089/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&down=1
CCTV14,http://39.152.103.17:8089/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&down=1
CCTV15,http://39.152.103.17:8089/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&down=1
CCTV16,http://39.152.103.17:8089/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&down=1
CCTV16,http://39.152.103.17:8089/tsfile/live/1073_1.m3u8?key=txiptv&playlive=1&down=1
CCTV17,http://39.152.103.17:8089/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&down=1
CCTV5+,http://39.152.103.17:8089/tsfile/live/1090_1.m3u8?key=txiptv&playlive=1&down=1

CCTV1,http://175.10.19.230:9999/tsfile/live/0001_1.m3u8
CCTV2,http://175.10.19.230:9999/tsfile/live/0002_1.m3u8
CCTV3,http://175.10.19.230:9999/tsfile/live/1056_1.m3u8
CCTV5,http://175.10.19.230:9999/tsfile/live/0005_1.m3u8
CCTV5+,http://175.10.19.230:9999/tsfile/live/0016_1.m3u8
CCTV6,http://175.10.19.230:9999/tsfile/live/0006_1.m3u8
CCTV7,http://175.10.19.230:9999/tsfile/live/1062_1.m3u8
CCTV8,http://175.10.19.230:9999/tsfile/live/0008_1.m3u8
CCTV9,http://175.10.19.230:9999/tsfile/live/0005_2.m3u8
CCTV10,http://175.10.19.230:9999/tsfile/live/1063_1.m3u8
CCTV11,http://175.10.19.230:9999/tsfile/live/0011_1.m3u8
CCTV12,http://175.10.19.230:9999/tsfile/live/0012_1.m3u8
CCTV13,http://175.10.19.230:9999/tsfile/live/0013_1.m3u8
CCTV14,http://175.10.19.230:9999/tsfile/live/0014_1.m3u8
CCTV15,http://175.10.19.230:9999/tsfile/live/0015_1.m3u8
CCTV17,http://175.10.19.230:9999/tsfile/live/0019_1.m3u8

CCTV1,http://ylt.7766.org:333/hls/1/index.m3u8
CCTV2,http://ylt.7766.org:333/hls/2/index.m3u8
CCTV3,http://ylt.7766.org:333/hls/3/index.m3u8
CCTV4,http://ylt.7766.org:333/hls/4/index.m3u8
CCTV5,http://ylt.7766.org:333/hls/5/index.m3u8
CCTV6,http://ylt.7766.org:333/hls/6/index.m3u8
CCTV7,http://ylt.7766.org:333/hls/7/index.m3u8
CCTV8,http://ylt.7766.org:333/hls/8/index.m3u8
CCTV9,http://ylt.7766.org:333/hls/9/index.m3u8
CCTV10,http://ylt.7766.org:333/hls/10/index.m3u8
CCTV11,http://ylt.7766.org:333/hls/11/index.m3u8
CCTV12,http://ylt.7766.org:333/hls/12/index.m3u8
CCTV13,http://ylt.7766.org:333/hls/13/index.m3u8
CCTV14,http://ylt.7766.org:333/hls/14/index.m3u8
CCTV15,http://ylt.7766.org:333/hls/15/index.m3u8
CCTV16,http://223.167.74.193:4022/rtp/239.45.0.12:5140
CCTV17,http://ylt.7766.org:333/hls/17/index.m3u8
CCTV5+,http://ylt.7766.org:333/hls/21/index.m3u8

CCTV1,http://223.75.148.190:9910/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://223.75.148.190:9910/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://223.75.148.190:9910/tsfile/live/0003_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://223.75.148.190:9910/tsfile/live/0004_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://223.75.148.190:9910/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://223.75.148.190:9910/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7,http://223.75.148.190:9910/tsfile/live/0007_2.m3u8?key=txiptv&playlive=0&authid=0
